run,tag,control,ok,downtime_ms,copy_s,spans,md5,late_enum,late_err,kicks,stale
1,debug,False,True,17,20.6,YES,MATCH,0,0,2,1
2,debug,False,True,18,30.2,YES,MATCH,0,0,2,1
3,debug,False,True,15,33.9,YES,MATCH,0,0,2,1
4,debug,False,True,17,33.5,YES,MATCH,0,0,2,1
5,debug,False,True,15,35.3,YES,MATCH,0,0,2,1
6,debug,False,True,16,32.4,YES,MATCH,0,0,2,1
7,debug,False,True,4,28.4,YES,MATCH,0,0,2,1
8,debug,False,True,4,13.2,YES,MATCH,0,0,2,1
9,debug,False,True,6,15.0,YES,MATCH,0,0,2,1
10,debug,False,True,17,52.4,YES,MATCH,0,0,2,1
